Accession,Virus_Name,Species,Country,Date
MN116646.1|RCV|Cardiovirus_theileri|Hungary|2018,RCV,Cardiovirus theileri,Hungary,2018
MF352428.1|RCV|Cardiovirus_theileri|China|2013,RCV,Cardiovirus theileri,China,2013
MF172923.1|CaV-B3|Cardiovirus_theileri|China|2014,CaV-B3,Cardiovirus theileri,China,2014
KJ191558.1|TMEV|Cardiovirus_theileri|Russia|1970,TMEV,Cardiovirus theileri,Russia,1970
EU718733.1|TMEV|Cardiovirus_theileri|USA|NA,TMEV,Cardiovirus theileri,USA,NA
EU723238.1|TMEV|Cardiovirus_theileri|USA|NA,TMEV,Cardiovirus theileri,USA,NA
EU718732.1|TMEV|Cardiovirus_theileri|USA|NA,TMEV,Cardiovirus theileri,USA,NA
M16020.1|TMEV|Cardiovirus_theileri|NA|NA,TMEV,Cardiovirus theileri,NA,NA
DQ401688.1|TMEV|Cardiovirus_theileri|NA|NA,TMEV,Cardiovirus theileri,NA,NA
NC_001366.1|TMEV|Cardiovirus_theileri|NA|NA,TMEV,Cardiovirus theileri,NA,NA
M20562.1|TMEV|Cardiovirus_theileri|NA|NA,TMEV,Cardiovirus theileri,NA,NA
MK343443.1|TMEV|Cardiovirus_theileri|USA|1987,TMEV,Cardiovirus theileri,USA,1987
MK343442.1|TMEV|Cardiovirus_theileri|USA|1987,TMEV,Cardiovirus theileri,USA,1987
JX443418.1|TMEV|Cardiovirus_theileri|NA|NA,TMEV,Cardiovirus theileri,NA,NA
KF680264.1|TMEV|Cardiovirus_theileri|NA|NA,TMEV,Cardiovirus theileri,NA,NA
M20301.1|TMEV|Cardiovirus_theileri|NA|NA,TMEV,Cardiovirus theileri,NA,NA
PV544236.1|TMEV|Cardiovirus_theileri|USA|2024,TMEV,Cardiovirus theileri,USA,2024
HQ652539.1|TMEV|Cardiovirus_theileri|Vietnam|2007,TMEV,Cardiovirus theileri,Vietnam,2007
MF416403.1|TMEV|Cardiovirus_theileri|USA|2014,TMEV,Cardiovirus theileri,USA,2014
ON907867.1|Cardiovirus_C|Cardiovirus_ranori|China|2017,Cardiovirus_C,Cardiovirus ranori,China,2017
MF352424.1|cardiovirus_C3|Cardiovirus_ranori|China|2012,cardiovirus_C3,Cardiovirus ranori,China,2012
JX683808.1|cardiovirus_C2|Cardiovirus_ranori|USA|2012,cardiovirus_C2,Cardiovirus ranori,USA,2012
NC_038305.1|cardiovirus_C1|Cardiovirus_ranori|USA|2010,cardiovirus_C1,Cardiovirus ranori,USA,2010
MZ544191.1|Cardiovirus_C|Cardiovirus_ranori|Vietnam|2014,Cardiovirus_C,Cardiovirus ranori,Vietnam,2014
NC_076099.1|cardiovirus_E1|Cardiovirus_rudhira|China|NA,cardiovirus_E1,Cardiovirus rudhira,China,NA
NC_075977.1|cardiovirus_F1|Cardiovirus_dhusarah|China|NA,cardiovirus_F1,Cardiovirus dhusarah,China,NA
NC_039210.1|FMDV|UK|Outgroup|NA,FMDV,outgroup,UK,NA
